date,510300.SH,563360.SH,512890.SH,510880.SH,511010.SH,511260.SH,518880.SH,511880.SH
2010-01-04,,,,2.836,,,,
2010-01-05,,,,2.873,,,,
2010-01-06,,,,2.868,,,,
2010-01-07,,,,2.796,,,,
2010-01-08,,,,2.797,,,,
2010-01-11,,,,2.799,,,,
2010-01-12,,,,2.841,,,,
2010-01-13,,,,2.731,,,,
2010-01-14,,,,2.768,,,,
2010-01-15,,,,2.776,,,,
2010-01-18,,,,2.785,,,,
2010-01-19,,,,2.79,,,,
2010-01-20,,,,2.706,,,,
2010-01-21,,,,2.712,,,,
2010-01-22,,,,2.711,,,,
2010-01-25,,,,2.664,,,,
2010-01-26,,,,2.596,,,,
2010-01-27,,,,2.56,,,,
2010-01-28,,,,2.545,,,,
2010-01-29,,,,2.543,,,,
2010-02-01,,,,2.501,,,,
2010-02-02,,,,2.499,,,,
2010-02-03,,,,2.57,,,,
2010-02-04,,,,2.557,,,,
2010-02-05,,,,2.501,,,,
2010-02-08,,,,2.503,,,,
2010-02-09,,,,2.517,,,,
2010-02-10,,,,2.544,,,,
2010-02-11,,,,2.546,,,,
2010-02-12,,,,2.573,,,,
2010-02-22,,,,2.565,,,,
2010-02-23,,,,2.542,,,,
2010-02-24,,,,2.576,,,,
2010-02-25,,,,2.609,,,,
2010-02-26,,,,2.59,,,,
2010-03-01,,,,2.626,,,,
2010-03-02,,,,2.61,,,,
2010-03-03,,,,2.626,,,,
2010-03-04,,,,2.567,,,,
2010-03-05,,,,2.574,,,,
2010-03-08,,,,2.599,,,,
2010-03-09,,,,2.613,,,,
2010-03-10,,,,2.599,,,,
2010-03-11,,,,2.606,,,,
2010-03-12,,,,2.567,,,,
2010-03-15,,,,2.538,,,,
2010-03-16,,,,2.54,,,,
2010-03-17,,,,2.584,,,,
2010-03-18,,,,2.58,,,,
2010-03-19,,,,2.593,,,,
2010-03-22,,,,2.598,,,,
2010-03-23,,,,2.58,,,,
2010-03-24,,,,2.583,,,,
2010-03-25,,,,2.555,,,,
2010-03-26,,,,2.597,,,,
2010-03-29,,,,2.658,,,,
2010-03-30,,,,2.66,,,,
2010-03-31,,,,2.637,,,,
2010-04-01,,,,2.668,,,,
2010-04-02,,,,2.681,,,,
2010-04-06,,,,2.689,,,,
2010-04-07,,,,2.673,,,,
2010-04-08,,,,2.638,,,,
2010-04-09,,,,2.656,,,,
2010-04-12,,,,2.624,,,,
2010-04-13,,,,2.668,,,,
2010-04-14,,,,2.668,,,,
2010-04-15,,,,2.668,,,,
2010-04-16,,,,2.632,,,,
2010-04-19,,,,2.505,,,,
2010-04-20,,,,2.498,,,,
2010-04-21,,,,2.539,,,,
2010-04-22,,,,2.483,,,,
2010-04-23,,,,2.471,,,,
2010-04-26,,,,2.448,,,,
2010-04-27,,,,2.399,,,,
2010-04-28,,,,2.402,,,,
2010-04-29,,,,2.388,,,,
2010-04-30,,,,2.407,,,,
2010-05-04,,,,2.373,,,,
2010-05-05,,,,2.387,,,,
2010-05-06,,,,2.28,,,,
2010-05-07,,,,2.248,,,,
2010-05-10,,,,2.26,,,,
2010-05-11,,,,2.232,,,,
2010-05-12,,,,2.262,,,,
2010-05-13,,,,2.307,,,,
2010-05-14,,,,2.285,,,,
2010-05-17,,,,2.188,,,,
2010-05-18,,,,2.232,,,,
2010-05-19,,,,2.205,,,,
2010-05-20,,,,2.194,,,,
2010-05-21,,,,2.217,,,,
2010-05-24,,,,2.293,,,,
2010-05-25,,,,2.241,,,,
2010-05-26,,,,2.231,,,,
2010-05-27,,,,2.269,,,,
2010-05-28,,,,2.264,,,,
2010-05-31,,,,2.208,,,,
2010-06-01,,,,2.186,,,,
2010-06-02,,,,2.184,,,,
2010-06-03,,,,2.183,,,,
2010-06-04,,,,2.182,,,,
2010-06-07,,,,2.125,,,,
2010-06-08,,,,2.13,,,,
2010-06-09,,,,2.191,,,,
2010-06-10,,,,2.17,,,,
2010-06-11,,,,2.185,,,,
2010-06-17,,,,2.167,,,,
2010-06-18,,,,2.145,,,,
2010-06-21,,,,2.193,,,,
2010-06-22,,,,2.189,,,,
2010-06-23,,,,2.168,,,,
2010-06-24,,,,2.176,,,,
2010-06-25,,,,2.162,,,,
2010-06-28,,,,2.155,,,,
2010-06-29,,,,2.064,,,,
2010-06-30,,,,2.038,,,,
2010-07-01,,,,2.012,,,,
2010-07-02,,,,2.021,,,,
2010-07-05,,,,2.003,,,,
2010-07-06,,,,2.049,,,,
2010-07-07,,,,2.049,,,,
2010-07-08,,,,2.049,,,,
2010-07-09,,,,2.104,,,,
2010-07-12,,,,2.13,,,,
2010-07-13,,,,2.098,,,,
2010-07-14,,,,2.113,,,,
2010-07-15,,,,2.075,,,,
2010-07-16,,,,2.087,,,,
2010-07-19,,,,2.134,,,,
2010-07-20,,,,2.173,,,,
2010-07-21,,,,2.175,,,,
2010-07-22,,,,2.195,,,,
2010-07-23,,,,2.206,,,,
2010-07-26,,,,2.208,,,,
2010-07-27,,,,2.2,,,,
2010-07-28,,,,2.252,,,,
2010-07-29,,,,2.269,,,,
2010-07-30,,,,2.255,,,,
2010-08-02,,,,2.295,,,,
2010-08-03,,,,2.259,,,,
2010-08-04,,,,2.27,,,,
2010-08-05,,,,2.232,,,,
2010-08-06,,,,2.269,,,,
2010-08-09,,,,2.271,,,,
2010-08-10,,,,2.211,,,,
2010-08-11,,,,2.216,,,,
2010-08-12,,,,2.189,,,,
2010-08-13,,,,2.216,,,,
2010-08-16,,,,2.266,,,,
2010-08-17,,,,2.269,,,,
2010-08-18,,,,2.26,,,,
2010-08-19,,,,2.271,,,,
2010-08-20,,,,2.244,,,,
2010-08-23,,,,2.222,,,,
2010-08-24,,,,2.231,,,,
2010-08-25,,,,2.178,,,,
2010-08-26,,,,2.181,,,,
2010-08-27,,,,2.19,,,,
2010-08-30,,,,2.222,,,,
2010-08-31,,,,2.204,,,,
2010-09-01,,,,2.201,,,,
2010-09-02,,,,2.223,,,,
2010-09-03,,,,2.211,,,,
2010-09-06,,,,2.263,,,,
2010-09-07,,,,2.26,,,,
2010-09-08,,,,2.251,,,,
2010-09-09,,,,2.221,,,,
2010-09-10,,,,2.214,,,,
2010-09-13,,,,2.232,,,,
2010-09-14,,,,2.226,,,,
2010-09-15,,,,2.2,,,,
2010-09-16,,,,2.147,,,,
2010-09-17,,,,2.143,,,,
2010-09-20,,,,2.146,,,,
2010-09-21,,,,2.147,,,,
2010-09-27,,,,2.166,,,,
2010-09-28,,,,2.144,,,,
2010-09-29,,,,2.149,,,,
2010-09-30,,,,2.187,,,,
2010-10-08,,,,2.254,,,,
2010-10-11,,,,2.32,,,,
2010-10-12,,,,2.344,,,,
2010-10-13,,,,2.362,,,,
2010-10-14,,,,2.395,,,,
2010-10-15,,,,2.491,,,,
2010-10-18,,,,2.485,,,,
2010-10-19,,,,2.522,,,,
2010-10-20,,,,2.527,,,,
2010-10-21,,,,2.498,,,,
2010-10-22,,,,2.493,,,,
2010-10-25,,,,2.55,,,,
2010-10-26,,,,2.529,,,,
2010-10-27,,,,2.514,,,,
2010-10-28,,,,2.514,,,,
2010-10-29,,,,2.477,,,,
2010-11-01,,,,2.548,,,,
2010-11-02,,,,2.534,,,,
2010-11-03,,,,2.517,,,,
2010-11-04,,,,2.552,,,,
2010-11-05,,,,2.578,,,,
2010-11-08,,,,2.609,,,,
2010-11-09,,,,2.584,,,,
2010-11-10,,,,2.556,,,,
2010-11-11,,,,2.571,,,,
2010-11-12,,,,2.448,,,,
2010-11-15,,,,2.461,,,,
2010-11-16,,,,2.36,,,,
2010-11-17,,,,2.322,,,,
2010-11-18,,,,2.345,,,,
2010-11-19,,,,2.366,,,,
2010-11-22,,,,2.338,,,,
2010-11-23,,,,2.306,,,,
2010-11-24,,,,2.315,,,,
2010-11-25,,,,2.341,,,,
2010-11-26,,,,2.33,,,,
2010-11-29,,,,2.309,,,,
2010-11-30,,,,2.282,,,,
2010-12-01,,,,2.289,,,,
2010-12-02,,,,2.302,,,,
2010-12-03,,,,2.298,,,,
2010-12-06,,,,2.305,,,,
2010-12-07,,,,2.319,,,,
2010-12-08,,,,2.294,,,,
2010-12-09,,,,2.269,,,,
2010-12-10,,,,2.28,,,,
2010-12-13,,,,2.349,,,,
2010-12-14,,,,2.349,,,,
2010-12-15,,,,2.343,,,,
2010-12-16,,,,2.341,,,,
2010-12-17,,,,2.335,,,,
2010-12-20,,,,2.293,,,,
2010-12-21,,,,2.344,,,,
2010-12-22,,,,2.324,,,,
2010-12-23,,,,2.327,,,,
2010-12-24,,,,2.303,,,,
2010-12-27,,,,2.269,,,,
2010-12-28,,,,2.241,,,,
2010-12-29,,,,2.238,,,,
2010-12-30,,,,2.241,,,,
2010-12-31,,,,2.266,,,,
2011-01-04,,,,2.309,,,,
2011-01-05,,,,2.309,,,,
2011-01-06,,,,2.295,,,,
2011-01-07,,,,2.312,,,,
2011-01-10,,,,2.28,,,,
2011-01-11,,,,2.299,,,,
2011-01-12,,,,2.309,,,,
2011-01-13,,,,2.311,,,,
2011-01-14,,,,2.292,,,,
2011-01-17,,,,2.226,,,,
2011-01-18,,,,2.217,,,,
2011-01-19,,,,2.256,,,,
2011-01-20,,,,2.195,,,,
2011-01-21,,,,2.222,,,,
2011-01-24,,,,2.213,,,,
2011-01-25,,,,2.205,,,,
2011-01-26,,,,2.214,,,,
2011-01-27,,,,2.25,,,,
2011-01-28,,,,2.256,,,,
2011-01-31,,,,2.274,,,,
2011-02-01,,,,2.279,,,,
2011-02-09,,,,2.257,,,,
2011-02-10,,,,2.287,,,,
2011-02-11,,,,2.289,,,,
2011-02-14,,,,2.375,,,,
2011-02-15,,,,2.37,,,,
2011-02-16,,,,2.384,,,,
2011-02-17,,,,2.38,,,,
2011-02-18,,,,2.362,,,,
2011-02-21,,,,2.398,,,,
2011-02-22,,,,2.333,,,,
2011-02-23,,,,2.333,,,,
2011-02-24,,,,2.348,,,,
2011-02-25,,,,2.355,,,,
2011-02-28,,,,2.377,,,,
2011-03-01,,,,2.388,,,,
2011-03-02,,,,2.373,,,,
2011-03-03,,,,2.382,,,,
2011-03-04,,,,2.417,,,,
2011-03-07,,,,2.479,,,,
2011-03-08,,,,2.476,,,,
2011-03-09,,,,2.464,,,,
2011-03-10,,,,2.424,,,,
2011-03-11,,,,2.401,,,,
2011-03-14,,,,2.403,,,,
2011-03-15,,,,2.362,,,,
2011-03-16,,,,2.395,,,,
2011-03-17,,,,2.372,,,,
2011-03-18,,,,2.378,,,,
2011-03-21,,,,2.365,,,,
2011-03-22,,,,2.382,,,,
2011-03-23,,,,2.408,,,,
2011-03-24,,,,2.408,,,,
2011-03-25,,,,2.442,,,,
2011-03-28,,,,2.433,,,,
2011-03-29,,,,2.43,,,,
2011-03-30,,,,2.424,,,,
2011-03-31,,,,2.404,,,,
2011-04-01,,,,2.44,,,,
2011-04-06,,,,2.485,,,,
2011-04-07,,,,2.483,,,,
2011-04-08,,,,2.497,,,,
2011-04-11,,,,2.496,,,,
2011-04-12,,,,2.498,,,,
2011-04-13,,,,2.513,,,,
2011-04-14,,,,2.512,,,,
2011-04-15,,,,2.521,,,,
2011-04-18,,,,2.528,,,,
2011-04-19,,,,2.476,,,,
2011-04-20,,,,2.471,,,,
2011-04-21,,,,2.495,,,,
2011-04-22,,,,2.477,,,,
2011-04-25,,,,2.436,,,,
