date,510300.SH,563360.SH,512890.SH,510880.SH,511010.SH,511260.SH,518880.SH,511880.SH
2010-01-01,,,,,,,,
2010-01-04,3535.229,3576.4058,4840.793,2777.194,107.16,94.178,,
2010-01-05,3564.038,3605.8798,4859.153,2814.05,107.026,94.163,,
2010-01-06,3541.727,3582.7324,4829.644,2796.776,106.821,94.184,,
2010-01-07,3471.456,3508.6142,4716.867,2726.518,106.779,94.189,,
2010-01-08,3480.13,3523.9539,4756.58,2730.015,106.73,94.15,,
2010-01-11,3482.052,3533.4284,4774.061,2737.008,106.874,94.142,,
2010-01-12,3534.916,3591.5059,4915.065,2779.87,106.69,94.115,,
2010-01-13,3421.144,3494.2545,4882.373,2676.159,106.577,93.941,,
2010-01-14,3469.051,3553.3284,5010.235,2710.165,106.594,93.942,,
2010-01-15,3482.738,3566.9483,5045.103,2715.044,106.611,93.987,,
2010-01-18,3500.684,3592.4117,5137.459,2729.328,106.628,93.987,,
2010-01-19,3507.482,3596.1256,5120.604,2734.998,106.69,94.029,,
2010-01-20,3394.434,3476.2729,4986.034,2644.795,106.695,94.165,,
2010-01-21,3408.574,3492.0811,4997.181,2658.09,106.721,94.222,,
2010-01-22,3366.197,3443.1129,4862.043,2651.05,106.728,94.277,,
2010-01-25,3328.014,3401.3446,4802.427,2603.15,106.757,94.394,,
2010-01-26,3242.797,3314.0432,4684.19,2550.541,106.787,94.437,,
2010-01-27,3198.566,3272.9273,4666.696,2510.907,106.82,94.531,,
2010-01-28,3206.57,3290.7239,4732.353,2501.314,106.838,94.589,,
2010-01-29,3204.155,3296.2479,4761.789,2494.004,106.874,94.695,,
2010-02-01,3152.707,3249.6915,4729.34,2452.028,107.021,95.073,,
2010-02-02,3146.189,3239.5503,4678.502,2449.499,107.12,95.111,,
2010-02-03,3230.715,3314.9773,4729.174,2517.09,107.271,95.366,,
2010-02-04,3218.802,3311.1301,4734.794,2502.126,107.246,95.294,,
2010-02-05,3153.087,3246.6647,4633.893,2452.154,107.29,95.347,,
2010-02-08,3150.988,3243.8545,4637.966,2448.396,107.324,95.61,,
2010-02-09,3169.19,3259.3624,4696.249,2465.329,107.584,95.656,,
2010-02-10,3214.13,3304.2973,4747.837,2489.753,107.398,95.539,,
2010-02-11,3220.398,3306.5035,4740.589,2494.758,107.564,95.547,,
2010-02-12,3251.278,3340.3521,4782.901,2524.932,107.536,95.68,,
2010-02-15,,,,,,,,
2010-02-16,,,,,,,,
2010-02-17,,,,,,,,
2010-02-18,,,,,,,,
2010-02-19,,,,,,,,
2010-02-22,3233.345,3325.7169,4778.298,2509.519,107.265,95.488,,
2010-02-23,3198.634,3304.7269,4802.928,2493.975,107.276,95.528,,
